Time,Region
512132.760,None-p03_s02b
512132.960,None-p03_s02b
512133.160,None-p03_s02b
512133.360,A
512133.560,A
512133.760,None-p03_s02b
512133.960,E
512134.160,F
512134.360,A
512134.560,F
512134.760,None-p03_s02b
512134.960,None-p03_s02b
512135.160,None-p03_s02b
512135.360,None-p03_s02b
512135.560,None-p03_s02b
512135.760,None-p03_s02b
512135.960,None-p03_s02b
512136.160,None-p03_s02b
512136.360,None-p03_s02b
512136.560,None-p03_s02b
512136.760,None-p03_s02b
512136.960,None-p03_s02b
512137.160,None-p03_s02b
512137.360,None-p03_s02b
512137.560,None-p03_s02b
512137.760,None-p03_s02b
512137.960,None-p03_s02b
512138.160,None-p03_s02b
512138.360,None-p03_s02b
512138.560,None-p03_s02b
512138.760,None-p03_s02b
512138.960,None-p03_s02b
512139.160,None-p03_s02b
512139.360,None-p03_s02b
512139.560,None-p03_s02b
512139.760,E
512139.960,face
512140.160,face
512140.360,face
512140.560,face
512140.760,E
512140.960,E
512141.160,face
512141.360,face
512141.560,face
512141.760,None-p03_s02b
512141.960,face
512142.160,face
512142.360,E
512142.560,E
512142.760,E
512142.960,E
512143.160,E
512143.360,E
512143.560,E
512143.760,E
512143.960,E
512144.160,E
512144.360,E
512144.560,F
512144.760,F
512144.960,D
512145.160,D
512145.360,D
512145.560,D
512145.760,D
512145.960,D
512146.160,D
512146.360,D
512146.560,D
512146.760,D
512146.960,D
512147.160,D
512147.360,D
512147.560,None-p03_s02b
512147.760,E
512147.960,F
512148.160,F
512148.360,face
512148.560,face
512148.760,F
512148.960,E
512149.160,E
512149.360,E
512149.560,E
512149.760,E
512149.960,E
512150.160,E
512150.360,E
512150.560,E
512150.760,E
512150.960,E
512151.160,E
512151.360,E
512151.560,E
512151.760,E
512151.960,E
512152.160,E
512152.360,E
512152.560,E
512152.760,E
512152.960,E
512153.160,E
512153.360,E
512153.560,E
512153.760,E
512153.960,E
512154.160,E
512154.360,E
512154.560,E
512154.760,E
512154.960,E
512155.160,E
512155.360,E
512155.560,E
512155.760,E
512155.960,E
512156.160,E
512156.360,E
512156.560,E
512156.760,E
512156.960,E
512157.160,E
512157.360,E
512157.560,E
512157.760,E
512157.960,E
512158.160,face
512158.360,face
512158.560,E
512158.760,E
512158.960,E
512159.160,E
512159.360,E
512159.560,E
512159.760,E
512159.960,E
512160.160,E
512160.360,E
512160.560,E
512160.760,E
512160.960,E
512161.160,face
512161.360,face
512161.560,B
512161.760,face
512161.960,face
512162.160,face
512162.360,F
512162.560,F
512162.760,None-p03_s02b
512162.960,face
512163.160,face
512163.360,face
512163.560,face
512163.760,face
512163.960,face
512164.160,face
512164.360,face
512164.560,face
512164.760,face
512164.960,face
512165.160,face
512165.360,face
512165.560,face
512165.760,face
512165.960,face
512166.160,face
512166.360,face
512166.560,B
512166.760,B
512166.960,face
512167.160,face
512167.360,face
512167.560,face
512167.760,face
512167.960,face
512168.160,face
512168.360,F
512168.560,F
512168.760,E
512168.960,F
512169.160,None-p03_s02b
512169.360,F
512169.560,None-p03_s02b
512169.760,E
512169.960,None-p03_s02b
512170.160,None-p03_s02b
512170.360,None-p03_s02b
512170.560,C
512170.760,face
512170.960,face
512171.160,face
512171.360,None-p03_s02b
512171.560,face
512171.760,None-p03_s02b
512171.960,face
512172.160,F
512172.360,F
512172.560,F
512172.760,face
512172.960,F
512173.160,F
512173.360,face
512173.560,face
512173.760,F
512173.960,F
512174.160,F
512174.360,F
512174.560,F
512174.760,E
512174.960,E
512175.160,D
512175.360,C
512175.560,C
512175.760,B
512175.960,face
512176.160,face
512176.360,face
512176.560,face
512176.760,face
512176.960,face
512177.160,face
512177.360,face
512177.560,A
512177.760,A
512177.960,A
512178.160,A
512178.360,A
512178.560,face
512178.760,face
512178.960,E
512179.160,E
512179.360,E
512179.560,E
512179.760,E
512179.960,F
512180.160,F
512180.360,F
512180.560,F
512180.760,face
512180.960,face
512181.160,face
512181.360,face
512181.560,face
512181.760,face
512181.960,face
512182.160,face
512182.360,face
512182.560,face
512182.760,face
512182.960,F
512183.160,face
512183.360,face
512183.560,face
512183.760,face
512183.960,face
512184.160,face
512184.360,face
512184.560,face
512184.760,E
512184.960,E
512185.160,face
512185.360,face
512185.560,face
512185.760,None-p03_s02b
512185.960,B
512186.160,B
512186.360,None-p03_s02b
512186.560,None-p03_s02b
512186.760,None-p03_s02b
512186.960,face
512187.160,face
512187.360,face
512187.560,face
512187.760,face
512187.960,face
512188.160,face
512188.360,face
512188.560,B
512188.760,B
512188.960,C
512189.160,C
512189.360,face
512189.560,face
512189.760,face
512189.960,face
512190.160,face
512190.360,face
512190.560,face
512190.760,face
512190.960,face
512191.160,face
512191.360,face
512191.560,face
512191.760,face
512191.960,face
512192.160,face
512192.360,None-p03_s02b
512192.560,E
512192.760,E
512192.960,None-p03_s02b
512193.160,None-p03_s02b
512193.360,E
512193.560,None-p03_s02b
512193.760,F
512193.960,F
512194.160,F
512194.360,face
512194.560,face
512194.760,face
512194.960,face
512195.160,face
512195.360,None-p03_s02b
512195.560,face
512195.760,face
512195.960,face
512196.160,face
512196.360,face
512196.560,face
512196.760,face
512196.960,face
512197.160,face
512197.360,face
512197.560,face
512197.760,face
512197.960,face
512198.160,face
512198.360,face
512198.560,face
512198.760,face
512198.960,face
512199.160,face
512199.360,None-p03_s02b
512199.560,F
512199.760,F
512199.960,F
512200.160,F
512200.360,None-p03_s02b
512200.560,E
512200.760,E
512200.960,E
512201.160,E
512201.360,face
512201.560,None-p03_s02b
512201.760,face
512201.960,face
512202.160,None-p03_s02b
512202.360,E
512202.560,E
512202.760,None-p03_s02b
512202.960,E
512203.160,face
512203.360,None-p03_s02b
512203.560,face
512203.760,face
512203.960,face
512204.160,None-p03_s02b
512204.360,face
512204.560,D
512204.760,None-p03_s02b
512204.960,None-p03_s02b
512205.160,D
512205.360,face
512205.560,face
512205.760,face
512205.960,None-p03_s02b
512206.160,None-p03_s02b
512206.360,None-p03_s02b
512206.560,None-p03_s02b
512206.760,None-p03_s02b
512206.960,E
512207.160,F
512207.360,E
512207.560,None-p03_s02b
512207.760,F
512207.960,F
512208.160,face
512208.360,C
512208.560,C
512208.760,C
512208.960,C
512209.160,C
512209.360,C
512209.560,D
512209.760,D
512209.960,D
512210.160,D
512210.360,None-p03_s02b
512210.560,E
512210.760,None-p03_s02b
512210.960,None-p03_s02b
512211.160,None-p03_s02b
512211.360,None-p03_s02b
512211.560,E
512211.760,face
512211.960,face
512212.160,face
512212.360,face
512212.560,face
512212.760,face
512212.960,face
512213.160,face
512213.360,face
512213.560,face
512213.760,face
